# 20260426_lifecycle_grid.tsv
# date             = 2026-04-26
# user             = eeg37520
# K_NURSES         : 4 levels [10000, 25000, 50000, 75000]
# ooz_survival     : 3 levels [0.25, 0.50, 0.75]
# nurse_mortality  : 3 levels [0.05, 0.15, 0.25]
# phoros_per_nurse : constant 10
# gonos_per_phoro  : constant 2
# eggs_per_gono    : constant 2
# selfing_rate     : constant 0.5
# iteration_order  : K (outer), ooz_survival (middle), nurse_mortality (inner)
# total_cells      : 36

combo_id	K_NURSES	ooz_survival	nurse_mortality	phoros_per_nurse	gonos_per_phoro	eggs_per_gono	selfing_rate
1	10000	0.25	0.05	10	2	2	0.5
2	10000	0.25	0.15	10	2	2	0.5
3	10000	0.25	0.25	10	2	2	0.5
4	10000	0.50	0.05	10	2	2	0.5
5	10000	0.50	0.15	10	2	2	0.5
6	10000	0.50	0.25	10	2	2	0.5
7	10000	0.75	0.05	10	2	2	0.5
8	10000	0.75	0.15	10	2	2	0.5
9	10000	0.75	0.25	10	2	2	0.5
10	25000	0.25	0.05	10	2	2	0.5
11	25000	0.25	0.15	10	2	2	0.5
12	25000	0.25	0.25	10	2	2	0.5
13	25000	0.50	0.05	10	2	2	0.5
14	25000	0.50	0.15	10	2	2	0.5
15	25000	0.50	0.25	10	2	2	0.5
16	25000	0.75	0.05	10	2	2	0.5
17	25000	0.75	0.15	10	2	2	0.5
18	25000	0.75	0.25	10	2	2	0.5
19	50000	0.25	0.05	10	2	2	0.5
20	50000	0.25	0.15	10	2	2	0.5
21	50000	0.25	0.25	10	2	2	0.5
22	50000	0.50	0.05	10	2	2	0.5
23	50000	0.50	0.15	10	2	2	0.5
24	50000	0.50	0.25	10	2	2	0.5
25	50000	0.75	0.05	10	2	2	0.5
26	50000	0.75	0.15	10	2	2	0.5
27	50000	0.75	0.25	10	2	2	0.5
28	75000	0.25	0.05	10	2	2	0.5
29	75000	0.25	0.15	10	2	2	0.5
30	75000	0.25	0.25	10	2	2	0.5
31	75000	0.50	0.05	10	2	2	0.5
32	75000	0.50	0.15	10	2	2	0.5
33	75000	0.50	0.25	10	2	2	0.5
34	75000	0.75	0.05	10	2	2	0.5
35	75000	0.75	0.15	10	2	2	0.5
36	75000	0.75	0.25	10	2	2	0.5
