# 20260429_lifecycle_grid_100.tsv
# Densified lifecycle grid for parameter surface figure.
# 4 K_NURSES levels x 5 ooz_survival levels x 5 nurse_mortality levels = 100 cells
# Original 36-cell grid (3x3 ooz/mort) is a strict subset of this grid.
# Asexual fecundity constants locked: phoros_per_nurse=10, gonos_per_phoro=2, eggs_per_gono=2 (A=40)
# Selfing rate descriptive only - mtDNA matrilineal in this model.
#
# Combos 1-25:   K=10k
# Combos 26-50:  K=25k
# Combos 51-75:  K=50k
# Combos 76-100: K=75k
#
# columns: combo_id  K_NURSES  ooz_survival  nurse_mortality  phoros  gonos  eggs  selfing

combo_id	K_NURSES	ooz_survival	nurse_mortality	phoros	gonos	eggs	selfing
1	10000	0.25	0.05	10	2	2	0.5
2	10000	0.25	0.1	10	2	2	0.5
3	10000	0.25	0.15	10	2	2	0.5
4	10000	0.25	0.2	10	2	2	0.5
5	10000	0.25	0.25	10	2	2	0.5
6	10000	0.375	0.05	10	2	2	0.5
7	10000	0.375	0.1	10	2	2	0.5
8	10000	0.375	0.15	10	2	2	0.5
9	10000	0.375	0.2	10	2	2	0.5
10	10000	0.375	0.25	10	2	2	0.5
11	10000	0.5	0.05	10	2	2	0.5
12	10000	0.5	0.1	10	2	2	0.5
13	10000	0.5	0.15	10	2	2	0.5
14	10000	0.5	0.2	10	2	2	0.5
15	10000	0.5	0.25	10	2	2	0.5
16	10000	0.625	0.05	10	2	2	0.5
17	10000	0.625	0.1	10	2	2	0.5
18	10000	0.625	0.15	10	2	2	0.5
19	10000	0.625	0.2	10	2	2	0.5
20	10000	0.625	0.25	10	2	2	0.5
21	10000	0.75	0.05	10	2	2	0.5
22	10000	0.75	0.1	10	2	2	0.5
23	10000	0.75	0.15	10	2	2	0.5
24	10000	0.75	0.2	10	2	2	0.5
25	10000	0.75	0.25	10	2	2	0.5
26	25000	0.25	0.05	10	2	2	0.5
27	25000	0.25	0.1	10	2	2	0.5
28	25000	0.25	0.15	10	2	2	0.5
29	25000	0.25	0.2	10	2	2	0.5
30	25000	0.25	0.25	10	2	2	0.5
31	25000	0.375	0.05	10	2	2	0.5
32	25000	0.375	0.1	10	2	2	0.5
33	25000	0.375	0.15	10	2	2	0.5
34	25000	0.375	0.2	10	2	2	0.5
35	25000	0.375	0.25	10	2	2	0.5
36	25000	0.5	0.05	10	2	2	0.5
37	25000	0.5	0.1	10	2	2	0.5
38	25000	0.5	0.15	10	2	2	0.5
39	25000	0.5	0.2	10	2	2	0.5
40	25000	0.5	0.25	10	2	2	0.5
41	25000	0.625	0.05	10	2	2	0.5
42	25000	0.625	0.1	10	2	2	0.5
43	25000	0.625	0.15	10	2	2	0.5
44	25000	0.625	0.2	10	2	2	0.5
45	25000	0.625	0.25	10	2	2	0.5
46	25000	0.75	0.05	10	2	2	0.5
47	25000	0.75	0.1	10	2	2	0.5
48	25000	0.75	0.15	10	2	2	0.5
49	25000	0.75	0.2	10	2	2	0.5
50	25000	0.75	0.25	10	2	2	0.5
51	50000	0.25	0.05	10	2	2	0.5
52	50000	0.25	0.1	10	2	2	0.5
53	50000	0.25	0.15	10	2	2	0.5
54	50000	0.25	0.2	10	2	2	0.5
55	50000	0.25	0.25	10	2	2	0.5
56	50000	0.375	0.05	10	2	2	0.5
57	50000	0.375	0.1	10	2	2	0.5
58	50000	0.375	0.15	10	2	2	0.5
59	50000	0.375	0.2	10	2	2	0.5
60	50000	0.375	0.25	10	2	2	0.5
61	50000	0.5	0.05	10	2	2	0.5
62	50000	0.5	0.1	10	2	2	0.5
63	50000	0.5	0.15	10	2	2	0.5
64	50000	0.5	0.2	10	2	2	0.5
65	50000	0.5	0.25	10	2	2	0.5
66	50000	0.625	0.05	10	2	2	0.5
67	50000	0.625	0.1	10	2	2	0.5
68	50000	0.625	0.15	10	2	2	0.5
69	50000	0.625	0.2	10	2	2	0.5
70	50000	0.625	0.25	10	2	2	0.5
71	50000	0.75	0.05	10	2	2	0.5
72	50000	0.75	0.1	10	2	2	0.5
73	50000	0.75	0.15	10	2	2	0.5
74	50000	0.75	0.2	10	2	2	0.5
75	50000	0.75	0.25	10	2	2	0.5
76	75000	0.25	0.05	10	2	2	0.5
77	75000	0.25	0.1	10	2	2	0.5
78	75000	0.25	0.15	10	2	2	0.5
79	75000	0.25	0.2	10	2	2	0.5
80	75000	0.25	0.25	10	2	2	0.5
81	75000	0.375	0.05	10	2	2	0.5
82	75000	0.375	0.1	10	2	2	0.5
83	75000	0.375	0.15	10	2	2	0.5
84	75000	0.375	0.2	10	2	2	0.5
85	75000	0.375	0.25	10	2	2	0.5
86	75000	0.5	0.05	10	2	2	0.5
87	75000	0.5	0.1	10	2	2	0.5
88	75000	0.5	0.15	10	2	2	0.5
89	75000	0.5	0.2	10	2	2	0.5
90	75000	0.5	0.25	10	2	2	0.5
91	75000	0.625	0.05	10	2	2	0.5
92	75000	0.625	0.1	10	2	2	0.5
93	75000	0.625	0.15	10	2	2	0.5
94	75000	0.625	0.2	10	2	2	0.5
95	75000	0.625	0.25	10	2	2	0.5
96	75000	0.75	0.05	10	2	2	0.5
97	75000	0.75	0.1	10	2	2	0.5
98	75000	0.75	0.15	10	2	2	0.5
99	75000	0.75	0.2	10	2	2	0.5
100	75000	0.75	0.25	10	2	2	0.5
